Category;ProductId;DimensionWidth;WeightUnit;DimensionUnit;DimensionHeight;DimensionDepth;Weight;Name
Computer system accessories;AD-1000;0.4600;KG;m;0.0300;0.3000;0.010;Flyer
Notebooks;HT-1000;0.3200;KG;m;0.0300;0.1800;4.200;Notebook Basic 15
Notebooks;HT-1001;0.2900;KG;m;0.0310;0.1700;4.500;Notebook Basic 17
Notebooks;HT-1002;0.2800;KG;m;0.0250;0.1900;4.200;Notebook Basic 18
Notebooks;HT-1003;0.3200;KG;m;0.0400;0.2100;4.200;Notebook Basic 19
PDAs/Organizers;HT-1007;0.3200;KG;m;0.0300;0.2200;0.200;1UMTS PDA
Notebooks;HT-1010;0.3300;KG;m;0.0300;0.2000;4.300;Notebook Professional 15
Notebooks;HT-1011;0.3300;KG;m;0.0200;0.2300;4.100;Notebook Professional 17
PDAs/Organizers;HT-1020;0.1000;KG;m;0.1700;0.0180;0.160;
Easy Hand IIIPDAs/Organizers;HT-1021;0.1100;KG;m;0.1800;0.0170;0.180;
Easy Hand VPDAs/Organizers;HT-1022;0.8400;KG;m;0.1400;0.0150;0.200;
Easy Hand VIIPDAs/Organizers;HT-1023;0.8000;KG;m;0.1300;0.0160;0.800;
Easy PowerFlat screens;HT-1030;0.3700;KG;m;0.3600;0.1200;18.000;
Ergo ScreenFlat screens;HT-1031;0.4080;KG;m;0.4300;0.1900;22.000;
Easy PixelFlat screens;HT-1032;0.4080;KG;m;0.4300;0.1900;21.000;
Beam ScreenFlat screens;HT-1035;0.3900;KG;m;0.4100;0.2000;14.000;
Flat Basic 15Flat screens;HT-1036;0.4500;KG;m;0.4600;0.2600;15.000;
Flat FutureFlat screens;HT-1037;0.5450;KG;m;0.3910;0.2210;17.000;
Flat X-largeLaser printers;HT-1040;0.5100;KG;m;0.3000;0.4600;32.000;
Laser Professional EcoLaser printers;HT-1041;0.4800;KG;m;0.2600;0.4200;23.000;
Laser BasicLaser printers;HT-1042;0.5300;KG;m;0.6500;0.5000;15.000;
Laser AllroundInk jet printers;HT-1050;0.4500;KG;m;0.1800;0.3420;3.000;
Deskjet Super ColorInk jet printers;HT-1051;0.4600;KG;m;0.2500;0.3200;1.900;
Deskjet MobileInk jet printers;HT-1052;0.4100;KG;m;0.2800;0.4200;18.000;
Deskjet Super HighspeedMultifunction printers;HT-1055;0.5500;KG;m;0.2900;0.4500;6.300;
Multi PrintMultifunction printers;HT-1056;0.5100;KG;m;0.2200;0.4130;4.300;
Multi ColorMice;HT-1060;0.0600;KG;m;0.0350;0.1450;0.090;
Cordless MouseMice;HT-1061;0.0700;KG;m;0.0310;0.1500;0.090;
Speed MouseMice;HT-1062;0.0710;KG;m;0.0400;0.1400;0.030;
Track MouseKeyboards;HT-1063;0.5000;KG;m;0.0350;0.2100;2.100;
Ergonomic KeyboardKeyboards;HT-1064;0.5200;KG;m;0.0300;0.2500;1.800;
Internet KeyboardKeyboards;HT-1065;0.5140;KG;m;0.0400;0.2300;2.300;
Media KeyboardMousepads;HT-1066;0.3000;G;m;0.0050;0.3000;80.000;
MousepadMousepads;HT-1067;0.2800;G;m;0.0040;0.2200;150.000;
Ergo MousepadMousepads;HT-1068;0.2400;G;m;0.0060;0.2400;150.000;
Designer MousepadFlat screens;HT-1069;0.3200;G;m;0.2300;0.0020;170.000;
Notebook LCD DisplayGraphic cards;HT-1070;0.1500;KG;m;0.0450;0.1800;0.010;
Proctra XGraphic cards;HT-1071;0.1400;KG;m;0.0350;0.1750;0.012;
Gladiator MXGraphic cards;HT-1072;0.1500;KG;m;0.0310;0.1680;0.013;
Hurricane GXGraphic cards;HT-1073;0.1520;KG;m;0.0410;0.1720;0.010;
PsimaxScanners;HT-1080;0.3400;KG;m;0.0500;0.4800;2.300;
Photo ScanScanners;HT-1081;0.3100;KG;m;0.0700;0.4300;2.400;
Power ScanScanners;HT-1082;0.3300;KG;m;0.1200;0.4100;3.200;
Jet Scan ProfessionalScanners;HT-1083;0.3500;KG;m;0.1000;0.4000;3.200;
Jet Scan ProfessionalMultifunction printers;HT-1085;0.4500;KG;m;0.2200;0.4200;23.200;
CopymasterSpeakers;HT-1090;0.1200;KG;m;0.1600;0.1000;3.000;
Surround SoundSpeakers;HT-1091;0.1300;KG;m;0.1750;0.1100;1.400;
Blaster ExtremeSpeakers;HT-1092;0.1240;KG;m;0.1810;0.1040;2.100;
Sound BoosterHeadsets;HT-1095;0.2400;G;m;0.2300;0.0190;187.000;
Lovely Sound 5.1 WirelessHeadsets;HT-1096;0.2500;G;m;0.1900;0.0170;130.000;
Lovely Sound 5.1Headsets;HT-1097;0.2130;G;m;0.1970;0.0240;60.000;
Lovely Sound StereoSoftware;HT-1100;0.1500;KG;m;0.2100;0.0650;1.200;
